id,spoiler
0,He decided to surprise his friend with the good news
1,Give in a way that is in your own interest and preserves your own energy resources
2,Meditating inside a beautiful stock-photo room filled with plants
3,Braconid
4,Cured egg yolks
5,John Williams
6,"take a long, warm shower with sweet-smelling essential oils.  Fragrances such as lavender or jasmine will help you relax and calm you down"
7,they can interfere with their work
8,Lord Ivar Mountbatten
9,put away too much
10,"""Who is watching your kids?"""
11,authenticity
12,Celia Cruz
13,"""People talk a lot and they know little,"" De Gea said in quotes appearing in Marca. ""Winning is United's, Jose's and my philosophy. ""I've got three more years on my contract with United and the desire to win more titles here."""
14,"he shoves his hand down her throat, enjoying that he can see how his intrusive hand bulges her neck"
15,$117 billion
16,the greed that took place during Japan's bubble economy of the 80s
17,Gulf Futurism
18,investing
19,New York
20,Michael Sam
21,Police in western Sweden initially thought a man whose car was stuck in the snow was Danish
22,entire range of products
23,longline yellow raincoat
24,raise awareness about the number of children who face sexual abuse
25,"Gender matters not when you're rocking the Force like you are, baby! #FantasticallyForcefulFemme"
26,"The officers finished up their meals, but when they looked at the bill — a total of 123 dollars — they were stunned."
27,Rising sea levels make storm surges from hurricanes and typhoons potentially more deadly in coastal areas
28,"Despite Hillary Clinton’s large margins in Miami-Dade County and Broward County, Trump ran up the score elsewhere in the state"
29,Y Combinator
30,The United States
31,he is giving his owner some seriously relentless side-eye
32,"""While the majority of food waste arises from the home, industry recognises the need to lead by example."""
33,not available for pre-order just yet
34, textbooks
35,he belts out a few of his favorite Broadway tunes
36,Lack Of Attention
37,"Austin, Texas"
38,he has been confined to a wheelchair by a form of the motor-neuron disease amyotrophic lateral sclerosis
39,"""YInMn blue."""
40,blue wavelength light
41,fresh beer on the red planet's surface
42,"""Parenthood,"""
43,it’s bound to get smelly
44,albino raccoon
45,Jason Aldean
46,"""Harry pocketed it"""
47,30 minutes
48,I’m always listening to gospel music
49,I can afford more than that
50,"He played quarterback. That’s kind of my knowledge base."""
51,The Awakening is a turn-based 4x strategic survival game inspired by Slavic mythology that came out late last year. It was made by four people with a bit of aid from a publishing partner.
52,huge audience out there ready to devour Mad Men content
53,"plant sterols, or phytosterols"
54,Pennsylvania
55,plastic debris
56,40 percent of marriages involve one spouse who's been married before
57,"Amber Galloway Gallego is not your everyday American Sign Language (ASL) interpreter — she specialises in the interpretation of music, in real time and in front of thousands of people."
58,playing dead
59,"Cyrus is her ""favorite Disney pop star."""
60,stress-managing worksheet
61,A trick to get unlimited Lucky Eggs and Incense has been discovered by redmondpie.com.
62,Only 60 percent said they always washed their hands after using the bathroom
63,Jussie Smollett
64,"Many Republican voters have an unfavorable impression of him — worse still, many don’t even think he has the knowledge, temperament or qualifications to be president"
65,Facebook
66,Delaware
67,Kevin Hart
68,only shows that have been out for three or more years will show up on Amazon Prime
69,"$25,000 per month"
70,only responds to capacitive touch not pressure
71,University of Vermont
72,in-person relationships still provide the greatest networking benefit
73,"The Whitney Museum of American Art Designed by Renzo Piano (the Italian architect who designed London's Shard, Europe's tallest builing), the museum found a new home next to the popular High Line elevated walkway in Manhattan’s trendy Meatpacking District in 2015"
74,"Vegan athletes do need to be diligent about consuming sufficient protein, said Nancy Clark, a sports nutrition expert in Massachusetts and the author of ""Nancy Clark’s Sports Nutrition Guidebook."" Plants, seeds and soy provide protein but in a form that is less absorbable than protein from meat."
75,Bolivia's chaotic San Pedro Prison
76,a moon
77,London
78,"The cosmetics company has revealed that they'll be teasing their collaboration on Snapchat, the photo- and video-sharing app that deletes photos mere seconds after a recipient views them."
79,Mexico City
80,MS Dhoni
81,tumor in her brain
82,cut short
83,plastic surgery
84,Neuphoric Anti-
85,"improved fat loss, increased calorie burn compared to steady-state workouts, muscular strength gains, and improved cardiovascular function"
86,Katy Perry
87,The Netherlands
88,still confident...your rubbish comments ain't ruining my happiness...thanks to all for the compliments and best wishes...am honoured
89,World War I is trench warfare
90,a photograph of a doormat glued to two pieces of foam
91,"it's so cloyingly sweet that anything it gets near tastes like it-even when you wipe it off with a paper towel (trust me, I've tried). 3. IT OVERPOWERS EVERYTHING IT TOUCHES"
92,a waitress
93, 1937 Bugatti Type 57S
94,because they don’t stand for same-sex marriage
95,Peter Pilotto
96,"With the adoption of modern lifestyles, men, too are becoming infertile these days"
97,not very talented
98,"Nebraska allocates its electoral college votes not in the usual winner-take-all method, but by congressional district"
99,He is utterly indifferent to its existence and would roll back the main things we’re currently putting in place to deal with it
100,Chile
101,virtual reality and mobile gaming
102,completely sedentary
103,"Online multiplayer is broken, and players should avoid trying to use that game mode for now"
104,raw apple and raw lettuce
105,anaphylaxis
106,fettuccine Alfredo
107,serious heart condition
108,eating what I wanted and as much as I wanted
109,"no properties were lost during a bushfire around the town of Gwindinup south-east of Bunbury, which has now been contained"
110,Margaret Osuma Oshien
111,"""If the NCA stopped targeting drug gangs, it would change nothing,"" he explained. ""You would see little change in the high street. Society would not collapse. All that would happen is that dealing would be more open. But it may give us more of a chance to deal with crimes such as homicide."" On the surface, it's a counter-intuitive line to take for a senior officer working within an agency for which the drug trade is a key"
112,"opportunistic kleptoparasites,"" meaning they don't derive 100 percent of their diets from heist but rather just steal when the opportunity arises"
113,The original title [of Stephen King's short story] was ... 'Rita Hayworth and the Shawshank Redemption.'
114,Shamus Beaglehole
115,"After getting my DNA report I learned that there are a number of genealogy sites, educational institutions and companies that are willing to offer you further insight into what your DNA may reveal, as long as you’re willing to upload your DNA profile to them"
116,Wolverhampton
117,coloured igloo
118,"Bizarro looks and acts like Superman but lives by the exact reverse logic: he says adjectives to mean their opposite, he sees it as a crime to do good, and so on."
119,Ruby Tuesday (RT)
120,investors buying them for their safety
121,29-cent towel
122,J. Crew
123,increases in artificial intelligence and the displacement of workers
124,practical because the movies are 80 or 90 minutes long
125,Trump welcomes the Playmates in New York and pops a bottle of champagne to kick off the New York stop.
126,a watch
127,a humpback whale
128,"""Destiny"" has not been well received"
129,"console wars never change. The hardware arms race to superiority will forever dominate as the main motivation for any company not named Nintendo, or so it once seemed."
130,Chase Freedom Visa card
131,Online gaming eventually gave him a sense of purpose
132,"Howard has been told he resembles the infamous dictator since 2011, when Kim took power."
133,Apple logo
134,Lack of Internet access inside his jail cell
135,frostbite
136,whitewashing
137,four continuous hours of CPR
138,used condoms being discarded under beds and women flashing the porter instead of giving a tip
139,Bad language...ill thoughts...rude ideas...negative radical views...I don’t need
140,José José
141,$634 billion
142,"The unemployment rate in November fell to 4.6 percent, the lowest in nine years, the Labor Department said earlier this month."
143,"smaller brains (more efficient, not dumber), resistance to diseases, increases in ADHD and blue eyes"
144,the bench allowed the lady to undergo an abortion and directed that the termination would be done under the supervision of the board
145,"Trump is now, on average, 0.2 percentage points ahead of Clinton"
146,wax is a fat-rich deposit that stores the same chemical data as blubber
147,the temple bought two dozen small vessels
148,"""No,"" she apparently replied, before pointing at the policeman and adding: ""But he has."""
149,June 17
150,it's an amazing start to have had and it's something that can be capitalized on rather than being something that holds you back
151,The Rock
152,Jackson Vroman
153,The Road to Serfdom by F.A. Hayek
154,Terahertz time-gated spectral imaging for content extraction through layered structures
155,Her mother was often part of the problem
156,eating kiwi can improve sleep
157,only potatoes
158,apply make-up to un-moisturised dry skin
159,Jay Pharoah
160,Idaho
161,more empathetic towards others
162,"""It makes me sick,"""
163,no
164,77
165,The ability to learn is about more than building and strengthening neural connections. Even more important is our ability to break down the old ones.
166,"If the Russians competed in Rio cleanly (or, as Noland says, ""no dirtier than average""), his models suggest they’re good for 66 or 67 medals."
167,huge penis
168,Don't ask if she has chosen a name
169,being a single mom to daughter Jessica gives her the most pride
170,"$765,759"
171,"Since the legal drinking age was set at 21, young people have been drinking less, and are less likely to get into traffic accidents"
172,Oregon
173,almost every space pops with color
174,Ambassadorial capacity
175,"The Oscar winner will play a younger version of Kathleen Turner's character, Fraida Felcher."
176,we have to think about it to help kids like Emily
177,"most items have not continued to drop in value, and many have risen back to their pre-announcement price"
178,tahini
179,"Greg Puciato took a dump onstage and hurled his excrement into the crowd during the band's 2002 performance at the event, all because of Puddle of Mudd."
180,strawberry rhubarb
181,a bag container formed of white solid bleached sulfate paper
182,"Boiling them was traditionally the way of doing it, but putting the cross in puts in too much water"
183,cream over Lotion
184,Jimmy Smits as Bail Organa
185,Windows 10
186,How to Talk to a Woman Who is Wearing Headphones
187,rejecting a fans’s gift and calling it ‘shit’
188,The original Kingdom Hearts came out for PlayStation 2 in 2002 and has seen seven sequels in the interim.
189,steamrollered into a bystander
190,played hide-and-seek with her friends
191,Laura Bush
192,Michael Brain has been banned from going on dating sites
193,pizza
194,he had his rear end grabbed in the middle of a song
195,organic labels may not always be reliable
196,Colorado
197,claims unexpectedly fell
198,it simply couldn't make enough toys to satiate demand in North America
199,I’m not killing off Harrison Ford
200,new generation e-passport featuring enhanced security features such as bio-metric details may soon be rolled out by the government
201,The Lost Brother
202,I tried getting the rights but someone else owned them
203,stacks upon stacks of bills
204,he climbed almost imperceptibly out of the driver’s window
205,Tulsiram Manere
206,Ailish Sheehan won the podium place with her three teammates in the British women’s four crew in Poznan last Sunday
207,count each small win we make
208,Chicago
209,being a sex object is empowering
210,there is no way to know what truly happens inside but to go there
211, french fry
212,a vast chamber where several stalagmites had been deliberately broken
213,‘erotic thoughts’
214,he didn't listen to me
215,The Cavaliers cannot win these NBA Finals
216,Eatsa
217,$1.5 billion
218,1-999-367-3767
219,colleges
220,"""Praise be to Allah that he became a martyr. Thank God. It is the most beautiful kind of saintly death,"" Fadi al Qanbar’s sister Shadia, 28, told Palestinian media"
221,They still have not officially filed paperwork for a divorce
222,A new law banning animal euthanasia is set to take force in Taiwan
223,The Boone Police Department charged the women with seven counts of misdemeanor graffiti and one count of damaging personal property
224,Emily Gardner
225,Menelik Watson
226,"""Feeling This,"""
227,Atkins diet
228,"Ana, the kickass heal-sniper"
229,"""Inappropriate. Whiny. All of the above,"" Barkley said of James then. ""He was young when I was playing, so I appreciate that, but I'm not upset about it. ... My criticism was fair, and I'm good with that."""
230,the shooter’s autopsy was also conducted in another building
231,pears
232,Blake McIver
233,hunt for catfish with pitchforks or spears
234,I cannot forgive myself
235,twerking
236,"""S***, wrong words!"""
237,I need feminism because I intend on marrying rich and I can’t do that if my wife and I are making .75 cent for every dollar a man makes
238,great big belly rub
239,"""Inside Amy Schumer"" airs Tuesdays at 10:30/9:30c on on on Comedy Central."
240,a triangle with those measurements can’t exist
241,"Brexit will require the engagement of the Scottish, Welsh and Northern Ireland governments"
242,work is most fulfilling when it’s a calling
243,completely bald
244,Emperor Palpatine's granddaughter
245,Lisa Brown
246,identification of a new gene that contributes to the disease
247,good circulation and a healthy body
248,cupping
249,"Hamas security forces violently dispersed the protesters, with shots fired in the air to clear the crowds and a number of protesters and local journalists assaulted."
250,"trees do relax their branches at night, which might be a sign of snoozing"
251,"""there will always be exceptions."""
252,Taser filed a pair of lawsuits claiming that the body cameras of competitor Vievu are defective
253,"the ADB canteen offers scrumptious meals from several Asian cuisines at affordable prices, as well as a bakery that serves up all kinds of breads, pies, and pastries"
254,stressed and sleepless
255,reuniting with her during her college graduation
256,a chopsticks holder
257,egg cartons and plastic ice cube trays
258,An investigation found that Baylor University had mishandled sexual assault accusations against its football players
259,cutting back the hedges will make your penis look longer
260,A good candidate with flaws I do not think that voting for Donald Trump is a morally evil choice because there is nothing morally wrong with voting for a flawed candidate if you think he will do more good for the nation than his opponent.
261,watermelons are packed with nutrients that are beneficial and healthy for you
262,Janet Yellen
263,Jordan Klepper
264,identity theft
265,increase in appetite for salty and sweet treats
266,Feb. 24
267,"blood, when drank, is toxic"
268,Millennials are better at handling their money and talking about it with their partners
269,polymyalgia rheumatica
270,"Ben Zobrist hit a go-ahead double, and Miguel Montero followed up with an R.B.P.I.V.I"
271,Park somewhere where you’ll stay parked to catch Pokémon
272,used as a drink coaster
273,adopt a pet
274,I live inside my own heart
275,"""Her"" made its world premiere at the New York Film Festival on Saturday night, and the Warner Bros. release could factor into the Oscar race like no other film ever before"
276,"a mutation to a separate, nearby gene called HERC2 has been identified as the cause of blue eyes"
277,Man who received his heart in a transplant
278,"""It will change your life because you will be received so much differently,"""
279,the seventh inning stretch
280,coconut oil
281,"When cats rub their head against you, they’re marking you as one of their own with the concentrated scent glands in their cheeks and head."
282,spy camera
283,"Casa Elizabeth, the Palm Springs villa once owned by Elizabeth Taylor"
284,"Louisville, Kentucky"
285,"""racial profiling"""
286,it’s hotter
